"curso","matriz","semestre","codigo","nome","creditos","tipo","subgrupo","preRequisitos","turmas"
"DESCONHECIDO","2025/01","1","GCT001","Introdução ao Pensamento Científico e sua Complexidade","4","obrigatoria","","","[{""id"": ""39R1"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 10}, {""dia"": 6, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 10}, {""dia"": 6, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 10}, {""dia"": 6, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""39R2"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 10}, {""dia"": 6, ""inicio"": 10, ""fim"": 12}], ""anp"": false}]"
"DESCONHECIDO","2025/01","1","GCT002","Geometria Analítica","4","obrigatoria","","","[{""id"": ""39R1"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 6, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 6, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""39R2"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 6, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 6, ""inicio"": 13, ""fim"": 15}], ""anp"": false}]"
"DESCONHECIDO","2025/01","1","GCT003","Bases Matemáticas para Ciência e Tecnologia A","5","obrigatoria","","","[{""id"": ""39R2"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 11}, {""dia"": 5, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 3, ""inicio"": 8, ""fim"": 11}, {""dia"": 5, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""39R1"", ""horarios"": [{""dia"": 4, ""inicio"": 9, ""fim"": 12}, {""dia"": 5, ""inicio"": 10, ""fim"": 12}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 4, ""inicio"": 9, ""fim"": 12}, {""dia"": 5, ""inicio"": 10, ""fim"": 12}], ""anp"": false}]"
"DESCONHECIDO","2025/01","1","GCT004","Biodiversidade: Interações entre Organismos e Ambientes","4","obrigatoria","","","[{""id"": ""39R1"", ""horarios"": [{""dia"": 3, ""inicio"": 10, ""fim"": 12}, {""dia"": 3, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 3, ""inicio"": 10, ""fim"": 12}, {""dia"": 3, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 3, ""inicio"": 10, ""fim"": 12}, {""dia"": 3, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39R2"", ""horarios"": [{""dia"": 3, ""inicio"": 10, ""fim"": 12}, {""dia"": 3, ""inicio"": 13, ""fim"": 15}], ""anp"": false}]"
"DESCONHECIDO","2025/01","1","GCT005","Fenômenos Químicos - Conceitos e Experimentações","4","obrigatoria","","","[{""id"": ""39D"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""39R2"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""39R4"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""39C"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39R3"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39R1"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}]"
"DESCONHECIDO","2025/01","1","GCT006","Práticas de Higiene e Segurança do Trabalho","3","obrigatoria","","","[{""id"": ""39R2"", ""horarios"": [{""dia"": 3, ""inicio"": 13, ""fim"": 16}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 3, ""inicio"": 13, ""fim"": 16}], ""anp"": false}, {""id"": ""39R1"", ""horarios"": [{""dia"": 4, ""inicio"": 13, ""fim"": 16}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 4, ""inicio"": 13, ""fim"": 16}], ""anp"": false}]"
"DESCONHECIDO","2025/01","2","GCT007","Ciência, Tecnologia e Sociedade","3","obrigatoria","","","[{""id"": ""39B"", ""horarios"": [{""dia"": 5, ""inicio"": 9, ""fim"": 12}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 6, ""inicio"": 9, ""fim"": 12}], ""anp"": false}]"
"DESCONHECIDO","2025/01","2","GCT008","Álgebra Linear","4","obrigatoria","","Minimo: GCT002","[{""id"": ""39B"", ""horarios"": [{""dia"": 2, ""inicio"": 10, ""fim"": 12}, {""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 3, ""inicio"": 13, ""fim"": 15}, {""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}]"
"DESCONHECIDO","2025/01","2","GCT009","Fenômenos Mecânicos","5","obrigatoria","","","[{""id"": ""39A"", ""horarios"": [{""dia"": 3, ""inicio"": 9, ""fim"": 12}, {""dia"": 4, ""inicio"": 8, ""fim"": 10}], ""anp"": false}, {""id"": ""39B"", ""horarios"": [{""dia"": 3, ""inicio"": 13, ""fim"": 16}, {""dia"": 4, ""inicio"": 10, ""fim"": 12}], ""anp"": false}]"
"DESCONHECIDO","2025/01","2","GCT010","Raciocínio Computacional","4","obrigatoria","","","[{""id"": ""39B"", ""horarios"": [{""dia"": 2, ""inicio"": 8, ""fim"": 10}, {""dia"": 5, ""inicio"": 15, ""fim"": 17}], ""anp"": false}, {""id"": ""39A"", ""horarios"": [{""dia"": 4, ""inicio"": 10, ""fim"": 12}, {""dia"": 5, ""inicio"": 13, ""fim"": 15}], ""anp"": false}, {""id"": ""39C"", ""horarios"": [{""dia"": 2, ""inicio"": 15, ""fim"": 17}, {""dia"": 4, ""inicio"": 15, ""fim"": 17}], ""anp"": false}]"
